color,accuracy,precision,recall,TP,TN,FP,FN
beige,0.84,0.741,0.161,20,3419,7,104
black,0.84,0.765,0.883,263,3657,81,35
blue,0.84,0.995,0.738,203,3640,1,72
brown,0.84,0.784,0.734,174,3573,48,63
cream,0.84,0.75,0.273,9,3492,3,24
crimson,0.84,0.5,0.444,4,3505,4,5
gold,0.84,0.429,0.12,3,3487,4,22
green,0.84,1,0.761,35,3534,0,11
grey,0.84,0.706,0.84,288,3623,120,55
navy-blue,0.84,0.406,0.867,39,3486,57,6
orange,0.84,0.76,0.809,38,3527,12,9
red,0.84,0.981,0.973,252,3750,5,7
silver,0.84,0.701,0.611,129,3502,55,82
titanium,0.84,0.394,0.729,43,3471,66,16
white,0.84,0.936,0.975,1409,4786,97,36
yellow,0.84,0.951,0.722,39,3532,2,15
